model,gpu,token_acc,token_p,token_r,token_f,tag_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,ents_excl_MISC_ents_p,ents_excl_MISC_ents_r,ents_excl_MISC_ents_f,k,augmenter,i,dep_uas,dep_las,wall_time
dacy_large,FALSE,0.9985092426952892,0.9836260791902351,0.9889254714157438,0.986268656716418,0.9540028966688308,0.8222222222222222,0.7956989247311828,0.808743169398907,0.8894736842105263,0.9388888888888889,0.9135135135135135,0.7641509433962265,0.84375,0.8019801980198021,0.743801652892562,0.743801652892562,0.7438016528925621,0.8455284552845529,0.6459627329192547,0.7323943661971832,0.8448687350835322,0.8100686498855835,0.8271028037383177,17,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9979102398248582,0.9818272095332671,0.9864312082210915,0.9841238242173891,0.9564043595640437,0.8173598553345389,0.8100358422939068,0.8136813681368138,0.8894736842105263,0.9388888888888889,0.9135135135135135,0.7614678899082569,0.8645833333333334,0.8097560975609757,0.7424242424242424,0.8099173553719008,0.774703557312253,0.8360655737704918,0.6335403726708074,0.7208480565371025,0.8408551068883611,0.8100686498855835,0.8251748251748252,18,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9982089552238805,0.9837107667858562,0.9881273071934551,0.9859140908864666,0.9549702633814784,0.8076923076923077,0.7903225806451613,0.7989130434782609,0.868421052631579,0.9166666666666666,0.8918918918918918,0.7547169811320755,0.8333333333333334,0.7920792079207922,0.7580645161290323,0.7768595041322314,0.7673469387755103,0.8095238095238095,0.6335403726708074,0.7108013937282229,0.8222748815165877,0.7940503432494279,0.8079161816065192,19,Keystroke errors 2%,1,NA,NA,34.66069746017456
dacy_large,FALSE,0.9973810347383505,0.9664859536717595,0.9782500249426319,0.9723324077746925,0.9121422506368313,0.7771639042357275,0.7562724014336918,0.7665758401453224,0.8247422680412371,0.8888888888888888,0.8556149732620321,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7589285714285714,0.7024793388429752,0.7296137339055794,0.776,0.6024844720496895,0.6783216783216784,0.7819025522041764,0.7711670480549199,0.7764976958525346,0,Keystroke errors 5%,2,NA,NA,34.66069746017456
dacy_large,FALSE,0.997180590592076,0.9666568018151327,0.9776514017759154,0.9721230158730159,0.9061110278319091,0.7481481481481481,0.7240143369175627,0.7358834244080146,0.8148148148148148,0.8555555555555555,0.8346883468834688,0.7358490566037735,0.8125,0.7722772277227722,0.68,0.7024793388429752,0.6910569105691057,0.725,0.5403726708074534,0.6192170818505338,0.7686746987951807,0.7299771167048055,0.7488262910798122,1,Keystroke errors 5%,2,NA,NA,34.66069746017456
dacy_large,FALSE,0.9966409800434697,0.9611067349350138,0.9738601217200439,0.9674413994747013,0.9053925733419962,0.7178130511463845,0.7293906810035843,0.7235555555555556,0.805,0.8944444444444445,0.8473684210526315,0.6517857142857143,0.7604166666666666,0.7019230769230769,0.6170212765957447,0.71900826446281,0.6641221374045801,0.7543859649122807,0.5341614906832298,0.6254545454545454,0.7511737089201878,0.7322654462242563,0.7415990730011587,2,Keystroke errors 5%,2,NA,NA,34.66069746017456
dacy_large,FALSE,0.9972348410033577,0.9638566082332086,0.9764541554424823,0.9701144867918918,0.9082917082917084,0.7623400365630713,0.7473118279569892,0.7547511312217194,0.8167539267015707,0.8666666666666667,0.8409703504043127,0.7352941176470589,0.78125,0.7575757575757576,0.7175572519083969,0.7768595041322314,0.746031746031746,0.7479674796747967,0.5714285714285714,0.647887323943662,0.7764423076923077,0.7391304347826086,0.7573270808909731,3,Keystroke errors 5%,2,NA,NA,34.66069746017456
dacy_large,FALSE,0.9970446261452073,0.9594342402514487,0.9745585154145465,0.9669372401504652,0.9127677635192489,0.7523809523809524,0.7078853046594982,0.729455216989843,0.8279569892473119,0.8555555555555555,0.8415300546448087,0.6868686868686869,0.7083333333333334,0.6974358974358974,0.65625,0.6942148760330579,0.674698795180723,0.7946428571428571,0.5527950310559007,0.6520146520146519,0.783375314861461,0.7116704805491991,0.7458033573141486,4,Keystroke errors 5%,2,NA,NA,34.66069746017456
dacy_large,FALSE,0.9973789624647643,0.9682351780605701,0.9792477302204928,0.9737103174603174,0.9099350973539692,0.776536312849162,0.7473118279569892,0.7616438356164383,0.8279569892473119,0.8555555555555555,0.8415300546448087,0.75,0.84375,0.7941176470588235,0.7024793388429752,0.7024793388429752,0.7024793388429752,0.7950819672131147,0.6024844720496895,0.6855123674911661,0.7980769230769231,0.7597254004576659,0.7784290738569754,5,Keystroke errors 5%,2,NA,NA,34.66069746017456
dacy_large,FALSE,0.996388105487111,0.9623348451981858,0.9737603511922578,0.9680138854450782,0.9093091891351107,0.7406716417910447,0.7114695340501792,0.7257769652650823,0.8,0.8444444444444444,0.8216216216216217,0.7128712871287128,0.75,0.7309644670050762,0.6693548387096774,0.6859504132231405,0.6775510204081633,0.743801652892562,0.5590062111801242,0.6382978723404255,0.7621359223300971,0.7185354691075515,0.7396937573616019,6,Keystroke errors 5%,2,NA,NA,34.66069746017456
