,wall_time,token_acc,token_p,token_r,token_f,pos_acc,tag_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,ents_excl_MISC_ents_p,ents_excl_MISC_ents_r,ents_excl_MISC_ents_f,k,model,augmenter,i
9,2.9051194190979004,0.9985595788009736,0.9830373970836227,0.9887259303601716,0.9858734580183048,0.0,0.9334331337325349,0.6736474694589878,0.6917562724014337,0.6825817860300619,0.7755102040816326,0.8444444444444444,0.8085106382978723,0.7009345794392523,0.78125,0.7389162561576355,0.5405405405405406,0.6611570247933884,0.5947955390334573,0.6475409836065574,0.4906832298136646,0.558303886925795,0.72,0.700228832951945,0.7099767981438515,9,dacy_small,Keystroke errors 2%,1
10,2.818085193634033,0.9981594786847734,0.9821251241310824,0.9867305198044498,0.9844224356741154,0.0,0.9289246291394035,0.6695804195804196,0.6863799283154122,0.6778761061946903,0.76,0.8444444444444444,0.8,0.6875,0.8020833333333334,0.7403846153846154,0.5306122448979592,0.6446280991735537,0.582089552238806,0.672566371681416,0.4720496894409938,0.5547445255474452,0.7176470588235294,0.6979405034324943,0.7076566125290024,10,dacy_small,Keystroke errors 2%,1
11,2.919607639312744,0.9985577162182324,0.9850019864918553,0.9894243240546743,0.987208202677816,0.0,0.9277763913151985,0.6622073578595318,0.7096774193548387,0.685121107266436,0.7109004739336493,0.8333333333333334,0.7672634271099743,0.7,0.875,0.7777777777777777,0.5131578947368421,0.6446280991735537,0.5714285714285714,0.7304347826086957,0.5217391304347826,0.6086956521739131,0.7130044843049327,0.7276887871853547,0.7202718006795016,11,dacy_small,Keystroke errors 2%,1
12,2.8518199920654297,0.9980083648675563,0.9832041343669251,0.9870298313878081,0.9851132686084143,0.0,0.9324871320773575,0.6602787456445993,0.6792114695340502,0.6696113074204947,0.7611940298507462,0.85,0.8031496062992126,0.6696428571428571,0.78125,0.721153846153846,0.5104895104895105,0.6033057851239669,0.5530303030303031,0.6610169491525424,0.484472049689441,0.5591397849462366,0.7099767981438515,0.700228832951945,0.7050691244239632,12,dacy_small,Keystroke errors 2%,1
13,2.814882278442383,0.9983096350800437,0.9829263450466548,0.9879277661378829,0.9854207095586407,0.0,0.9322880255667632,0.6845753899480069,0.7078853046594982,0.6960352422907489,0.748792270531401,0.8611111111111112,0.8010335917312661,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.5694444444444444,0.6776859504132231,0.6188679245283019,0.6842105263157895,0.484472049689441,0.5672727272727272,0.7228637413394919,0.7162471395881007,0.7195402298850575,13,dacy_small,Keystroke errors 2%,1
14,2.8265316486358643,0.9982575795290486,0.9851903389325117,0.9889254714157438,0.9870543716391158,0.0,0.9288176232579051,0.6740237691001698,0.7114695340501792,0.6922406277244987,0.7584541062801933,0.8722222222222222,0.8113695090439277,0.7017543859649122,0.8333333333333334,0.7619047619047619,0.5342465753424658,0.6446280991735537,0.5842696629213484,0.6721311475409836,0.5093167701863354,0.5795053003533568,0.7200902934537246,0.7299771167048055,0.7249999999999999,14,dacy_small,Keystroke errors 2%,1
15,3.2308154106140137,0.9984590147636329,0.9839189994044074,0.9889254714157438,0.9864158829676072,0.0,0.9347576498777018,0.6775300171526587,0.7078853046594982,0.6923751095530236,0.7536231884057971,0.8666666666666667,0.8062015503875969,0.6880733944954128,0.78125,0.7317073170731707,0.5594405594405595,0.6611570247933884,0.6060606060606061,0.6774193548387096,0.5217391304347826,0.5894736842105264,0.7159090909090909,0.7208237986270023,0.7183580387685291,15,dacy_small,Keystroke errors 2%,1
16,2.8127920627593994,0.9987605968965346,0.9814814814814815,0.9888257008879577,0.9851399035833209,0.0,0.9314194577352473,0.6690017513134852,0.6845878136200717,0.6767050487156777,0.7574257425742574,0.85,0.8010471204188483,0.6293103448275862,0.7604166666666666,0.6886792452830188,0.5797101449275363,0.6611570247933884,0.6177606177606177,0.6608695652173913,0.4720496894409938,0.5507246376811594,0.6974595842956121,0.6910755148741419,0.6942528735632184,16,dacy_small,Keystroke errors 2%,1
17,2.8145508766174316,0.9986091794158554,0.9840277777777777,0.9896238651102465,0.9868178878774313,0.0,0.9286711891460495,0.701627486437613,0.6953405017921147,0.6984698469846985,0.7722772277227723,0.8666666666666667,0.8167539267015707,0.7339449541284404,0.8333333333333334,0.7804878048780488,0.5461538461538461,0.5867768595041323,0.5657370517928287,0.7232142857142857,0.5031055900621118,0.5934065934065934,0.7494089834515366,0.7254004576659039,0.7372093023255815,17,dacy_small,Keystroke errors 2%,1
18,2.274379014968872,0.9982575795290486,0.9845939767418745,0.9883268482490273,0.9864568810993826,0.0,0.9364104101103952,0.696588868940754,0.6953405017921147,0.6959641255605381,0.7743589743589744,0.8388888888888889,0.8053333333333333,0.7053571428571429,0.8229166666666666,0.7596153846153847,0.5857142857142857,0.6776859504132231,0.6283524904214559,0.6909090909090909,0.4720496894409938,0.5608856088560885,0.7338129496402878,0.700228832951945,0.7166276346604215,18,dacy_small,Keystroke errors 2%,1
