,token_acc,token_p,token_r,token_f,pos_acc,ents_p,ents_r,ents_f,ents_per_type_PER_p,ents_per_type_PER_r,ents_per_type_PER_f,ents_per_type_MISC_p,ents_per_type_MISC_r,ents_per_type_MISC_f,ents_per_type_LOC_p,ents_per_type_LOC_r,ents_per_type_LOC_f,ents_per_type_ORG_p,ents_per_type_ORG_r,ents_per_type_ORG_f,k,model,augmenter,i
9,0.9973404255319148,0.9609981334119265,0.9759553028035518,0.9684189684189684,0.8482071713147411,0.634469696969697,0.600358422939068,0.6169429097605894,0.6990291262135923,0.8,0.7461139896373058,0.5043478260869565,0.4793388429752066,0.4915254237288136,0.673469387755102,0.6875,0.6804123711340205,0.6146788990825688,0.4161490683229814,0.49629629629629624,9,spacy_large,Keyboard augmentation 5%,1
10,0.997138063752097,0.9634914386931707,0.9768532375536266,0.9701263314342333,0.8524835427887492,0.6320754716981132,0.600358422939068,0.6158088235294118,0.6367713004484304,0.7888888888888889,0.7047146401985112,0.5225225225225225,0.4793388429752066,0.5,0.735632183908046,0.6666666666666666,0.6994535519125683,0.6513761467889908,0.4409937888198758,0.5259259259259259,10,spacy_large,Keyboard augmentation 5%,1
11,0.997337803194636,0.9627298652768217,0.9767534670258405,0.9696909667194928,0.8508562325766627,0.6042471042471043,0.5609318996415771,0.5817843866171004,0.6221198156682027,0.75,0.6801007556675062,0.46846846846846846,0.4297520661157025,0.4482758620689655,0.7010309278350515,0.7083333333333334,0.7046632124352332,0.6236559139784946,0.36024844720496896,0.45669291338582674,11,spacy_large,Keyboard augmentation 5%,1
12,0.9971886559802713,0.9626204997048987,0.9763543849146962,0.9694388033087326,0.8439306358381503,0.6091081593927894,0.5752688172043011,0.591705069124424,0.6798029556650246,0.7666666666666667,0.7206266318537858,0.45,0.4462809917355372,0.44813278008298757,0.6767676767676768,0.6979166666666666,0.6871794871794872,0.5904761904761905,0.38509316770186336,0.4661654135338346,12,spacy_large,Keyboard augmentation 5%,1
13,0.9966399841881608,0.9613907219541022,0.9738601217200439,0.9675852498017447,0.8474356415885054,0.602996254681648,0.5770609318996416,0.5897435897435898,0.6181818181818182,0.7555555555555555,0.6799999999999999,0.484375,0.512396694214876,0.4979919678714859,0.6829268292682927,0.5833333333333334,0.6292134831460675,0.6538461538461539,0.422360248447205,0.5132075471698113,13,spacy_large,Keyboard augmentation 5%,1
14,0.996736227870636,0.9633280757097792,0.9749575975256909,0.9691079486289483,0.8432761372705507,0.5932835820895522,0.5698924731182796,0.5813528336380256,0.6484018264840182,0.7888888888888889,0.7117794486215538,0.4621212121212121,0.5041322314049587,0.48221343873517786,0.6292134831460674,0.5833333333333334,0.6054054054054054,0.6145833333333334,0.36645962732919257,0.4591439688715953,14,spacy_large,Keyboard augmentation 5%,1
15,0.9970297029702971,0.9674234945705824,0.9777511723037015,0.9725599166377213,0.8527503244484376,0.5981308411214953,0.5734767025089605,0.5855443732845379,0.611353711790393,0.7777777777777778,0.6845965770171148,0.5315315315315315,0.48760330578512395,0.5086206896551724,0.6597938144329897,0.6666666666666666,0.6632124352331606,0.5816326530612245,0.35403726708074534,0.44015444015444016,15,spacy_large,Keyboard augmentation 5%,1
16,0.9969313007325281,0.9658541399388137,0.9764541554424823,0.9711252232585831,0.8479952124476362,0.6169429097605893,0.600358422939068,0.6085376930063578,0.6763285024154589,0.7777777777777778,0.7235142118863049,0.4878048780487805,0.49586776859504134,0.4918032786885246,0.6464646464646465,0.6666666666666666,0.6564102564102564,0.6228070175438597,0.4409937888198758,0.5163636363636364,16,spacy_large,Keyboard augmentation 5%,1
17,0.9970859880476121,0.9640500344725697,0.9765539259702684,0.9702616970658207,0.844355843508597,0.591337099811676,0.5627240143369175,0.576675849403122,0.6181818181818182,0.7555555555555555,0.6799999999999999,0.3983050847457627,0.3884297520661157,0.3933054393305439,0.6666666666666666,0.6458333333333334,0.6560846560846562,0.69,0.42857142857142855,0.528735632183908,17,spacy_large,Keyboard augmentation 5%,1
18,0.9973267326732673,0.9678088278858497,0.9778509428314875,0.9728039702233251,0.8505689758434818,0.6175373134328358,0.5931899641577061,0.6051188299817184,0.676056338028169,0.8,0.7328244274809161,0.5365853658536586,0.5454545454545454,0.540983606557377,0.673469387755102,0.6875,0.6804123711340205,0.5392156862745098,0.3416149068322981,0.41825095057034223,18,spacy_large,Keyboard augmentation 5%,1
